gene_name	array_data_file_names	composite_element_ref	protein_name	qc_score	antibody_validation_status	antibody_origin	antibody_source_company	catalog_number	website
RICTOR	Rictor-R-C_GBL1112876.txt	Rictor-R-C	Rictor	0.9475799	Use with Caution	Rabbit	CST	2114	Discontinued and replaced by http://www.cellsignal.com/products/2280.html
RICTOR	Rictor_pT1135-R-V_GBL1112877.txt	Rictor_pT1135-R-V	Rictor_pT1135	0.9738288	Validated	Rabbit	CST	3806	http://www.cellsignal.com/products/3806.html
RPS6	S6-R-E_GBL1112798.txt	S6-R-E	S6	0.9695152	Under Evaluation	Rabbit	CST	2217	http://www.cellsignal.com/products/2217.html
RPS6	S6_pS235_S236-R-V_GBL1112799.txt	S6_pS235_S236-R-V	S6_pS235_S236	0.9638312	Validated	Rabbit	CST	2211	http://www.cellsignal.com/products/2211.html
RPS6	S6_pS240_S244-R-V_GBL1112800.txt	S6_pS240_S244-R-V	S6_pS240_S244	0.9717305	Validated	Rabbit	CST	2215	http://www.cellsignal.com/products/2215.html
SCD1	SCD1-M-V_GBL1112961.txt	SCD1-M-V	SCD1	0.9295396	Validated	Mouse	Santa Cruz	sc-58420	http://www.scbt.com/datasheet-58420-scd-cd-e10-antibody.html
SFRS1	SF2-M-V_GBL1112925.txt	SF2-M-V	SF2	0.9333803	Validated	Mouse	Invitrogen	32-4500	http://products.invitrogen.com/ivgn/product/324500?ICID=search-324500
SHC1	Shc_pY317-R-E_GBL1112851.txt	Shc_pY317-R-E	Shc_pY317	0.9530988	Under Evaluation	Rabbit	CST	2431	http://www.cellsignal.com/products/2431.html
SMAD1	Smad1-R-V_GBL1112842.txt	Smad1-R-V	Smad1	0.9689746	Validated	Rabbit	Epitomics	1649-1	http://www.epitomics.com/products/product_info/388/Smad1-antibody-1649-1.html
SMAD3	Smad3-R-V_GBL1112821.txt	Smad3-R-V	Smad3	0.971202	Validated	Rabbit	Epitomics	1735-1	http://www.epitomics.com/products/product_info/454/Smad3-antibody-1735-1.html
SMAD4	Smad4-M-V_GBL1112916.txt	Smad4-M-V	Smad4	0.9206434	Validated	Mouse	Santa Cruz	sc-7966	http://www.scbt.com/table-smad4.html
SRC	Src-M-V_GBL1112909.txt	Src-M-V	Src	0.9686043	Validated	Mouse	Upstate (Millipore)	05-184	https://www.millipore.com/catalogue/item/05-184
SRC	Src_pY416-R-C_GBL1112801.txt	Src_pY416-R-C	Src_pY416	0.9588805	Use with Caution	Rabbit	CST	2101	http://www.cellsignal.com/products/2101.html
SRC	Src_pY527-R-V_GBL1112802.txt	Src_pY527-R-V	Src_pY527	0.9647905	Validated	Rabbit	CST	2105	http://www.cellsignal.com/products/2105.html
STAT3	STAT3_pY705-R-V_GBL1112803.txt	STAT3_pY705-R-V	STAT3_pY705	0.9670276	Validated	Rabbit	CST	9131	http://www.cellsignal.com/products/9131.html
STAT5A	STAT5-alpha-R-V_GBL1112804.txt	STAT5-alpha-R-V	STAT5-alpha	0.9642047	Validated	Rabbit	Epitomics	1289-1	http://www.epitomics.com/products/product_info/398/Stat-5-antibody-1289-1.html
STMN1	Stathmin-R-V_GBL1112809.txt	Stathmin-R-V	Stathmin	0.9601588	Validated	Rabbit	Epitomics	1972-1	http://www.epitomics.com/products/product_info/701/Stathmin-antibody-1972-1.html
SYK	Syk-M-V_GBL1112921.txt	Syk-M-V	Syk	0.9614217	Validated	Mouse	Santa Cruz	sc-1240	http://www.scbt.com/datasheet-1240-syk-4d10-antibody.html
WWTR1	TAZ-R-V_GBL1112818.txt	TAZ-R-V	TAZ	0.9691371	Validated	Rabbit	CST	2149	http://www.cellsignal.com/products/2149.html
C12ORF5	TIGAR-R-V_GBL1112868.txt	TIGAR-R-V	TIGAR	0.9600217	Under Evaluation	Rabbit	Epitomics	S1711	http://www.epitomics.com/products/product_info/3961/TIGAR-antibody-S1711.html
TGM2	Transglutaminase-M-V_GBL1112914.txt	Transglutaminase-M-V	Transglutaminase	0.9588732	Validated	Mouse	Lab Vision	MS-224	https://thermo.dirxion.com/immunohistochemistry/WebProject.asp?CodeId=7.6.3.2&amp;BookCode=ihc12flx#
TFRC	TFRC-R-V_GBL1112881.txt	TFRC-R-V	TFRC	0.9514526	Validated	Rabbit	SDI / Novus	22500002	http://www.novusbio.com/Transferrin-Receptor-Antibody_22500002.html
TSC1	TSC1-R-C_GBL1112873.txt	TSC1-R-C	TSC1	0.9770194	Use with Caution	Rabbit	CST	4906	http://www.cellsignal.com/products/4906.html
TTF1	TTF1-R-V_GBL1112862.txt	TTF1-R-V	TTF1	0.96159	Validated	Rabbit	Abcam	ab76013	http://www.abcam.com/ttf1-antibody-ep1584y-ab76013.html
